success,collision,timeout,battery_dead,path_length_m,straight_line_m,path_efficiency,energy_j,energy_per_meter_j,flight_time_s,final_goal_distance_m,min_clearance_m,episode,return_goal,return_energy,return_safety,w_goal,w_energy,w_safety
True,False,False,False,43.15495870507936,41.65733595589718,0.9652966242091223,1037.4707989912067,24.040593019246614,6.6000000000000005,1.5152315381691202,8.213911659821372,0,89.48210441772807,-27.70857971072721,-5.9544287416332216,0.8,0.1,0.1
True,False,False,False,43.50058881349949,43.27180437724276,0.9947406588623984,929.8931846634539,21.37656546788813,6.4,1.867751170265884,6.407157176066175,1,90.76405320697688,-24.83541652908506,-5.03541779316716,0.8,0.1,0.1
True,False,False,False,54.951143636007124,53.57908125095902,0.9750312314856164,1147.1377116325652,20.875593040085434,7.800000000000001,1.8484378734768196,2.487493247920159,2,100.9506433774822,-30.637543488317068,-16.797485585025402,0.8,0.1,0.1
True,False,False,False,54.00209154405291,52.09025932997661,0.9645970709760993,1015.8674123311631,18.81163086993503,7.6000000000000005,1.4211827163985749,6.972051865047746,3,99.90907661357804,-27.131600424299563,-15.017259387673535,0.8,0.1,0.1
True,False,False,False,50.02116751290319,46.62669452187111,0.9321392690373238,1010.396715982311,20.19938290568037,7.2,1.9177482833404182,4.729300681781256,4,93.9889462385307,-26.98549007015491,-2.641647661515204,0.8,0.1,0.1
True,False,False,False,45.86341140909684,45.191634239612334,0.9853526558787281,1106.1745966783087,24.118890477015476,6.800000000000001,1.442169234675364,2.920843877569072,5,93.06946500493697,-29.543508131357278,-1.3621289298824046,0.8,0.1,0.1
True,False,False,False,47.65044696578751,44.38330475613762,0.9314352242698655,1030.159363954222,21.619091310809004,7.2,1.6043154764902319,5.320742441562958,6,92.05898927964739,-27.513307245498247,-4.809095258400578,0.8,0.1,0.1
True,False,False,False,46.23049203220562,40.9016091738334,0.8847322919544107,1005.7803328291129,21.755778245415485,7.0,1.9582368315536487,5.520135047607872,7,88.24337234227976,-26.86219655606272,-2.9847886982892695,0.8,0.1,0.1
True,False,False,False,46.21500236146924,47.22079295475341,1.021763292045674,1012.0829936834459,21.89944697541005,6.6000000000000005,1.957694678094352,8.787333356783778,8,94.60309827665907,-27.030526865543983,-0.01592330401290983,0.8,0.1,0.1
True,False,False,False,50.36025954646238,48.19338008583773,0.9569724326256602,1139.896873415326,22.63484905918042,7.2,1.3474012123291206,6.911490239714178,9,96.12597887350861,-30.444156509994457,0.0,0.8,0.1,0.1
